id,question_id,category,sub_category,weight,question,choices,not_applicable_choice
54,FOP_others,FOP,"",1,Are there other here not mentioned food labels you have seen or you are familiar with?,{},
55,CS_general_heading,CS,"",1,Cooking skills (CS),{},
56,CS_general_description,CS,"",1,This questionnaire is about your cooking skills.,{},
57,CS_general_question,CS,"",1,Rate how good you are at each following skill.,{},
58,CS_1,CS,"",1,"Chop, mix and stir foods, for example chopping vegetables, dicing an onion, cubing meat, mixing and stirring food together in a pot/ bowl.","{""1"": ""Very poor"", ""2"": ""Poor"", ""3"": ""Average"", ""4"": ""Good"", ""5"": ""Very good""}",Never/rarely do it
59,CS_2,CS,"",1,"Blend foods to make them smooth, like soups or sauces’ (using a whisk/blender/food processor etc.)","{""1"": ""Very poor"", ""2"": ""Poor"", ""3"": ""Average"", ""4"": ""Good"", ""5"": ""Very good""}",Never/rarely do it
60,CS_3,CS,"",1,Steam food (where the food doesn’t touch the water but gets cooked by the steam),"{""1"": ""Very poor"", ""2"": ""Poor"", ""3"": ""Average"", ""4"": ""Good"", ""5"": ""Very good""}",Never/rarely do it
61,CS_4,CS,"",1,"Boil or simmer food (cooking it in a pan of hot, boiling/bubbling water)","{""1"": ""Very poor"", ""2"": ""Poor"", ""3"": ""Average"", ""4"": ""Good"", ""5"": ""Very good""}",Never/rarely do it
62,CS_5,CS,"",1,"Stew food (cooking it for a long time (usually more than an hour) in a liquid or sauce at a medium heat, not boiling) e.g. beef stew","{""1"": ""Very poor"", ""2"": ""Poor"", ""3"": ""Average"", ""4"": ""Good"", ""5"": ""Very good""}",Never/rarely do it
63,CS_6,CS,"",1,"Roast food in the oven, for example raw meat/chicken, fish, vegetables etc.","{""1"": ""Very poor"", ""2"": ""Poor"", ""3"": ""Average"", ""4"": ""Good"", ""5"": ""Very good""}",Never/rarely do it
64,CS_7,CS,"",1,Fry/stir-fry food in a frying pan/wok with oil or fat using the hob/ gas rings/hot plates,"{""1"": ""Very poor"", ""2"": ""Poor"", ""3"": ""Average"", ""4"": ""Good"", ""5"": ""Very good""}",Never/rarely do it
65,CS_8,CS,"",1,Microwave food (not drinks/liquid) including heating ready-meals Food Preparation Techniques,"{""1"": ""Very poor"", ""2"": ""Poor"", ""3"": ""Average"", ""4"": ""Good"", ""5"": ""Very good""}",Never/rarely do it
66,CS_9,CS,"",1,"Bake goods such as cakes, buns, cupcakes, scones, bread etc., using basic/raw ingredients or mixes","{""1"": ""Very poor"", ""2"": ""Poor"", ""3"": ""Average"", ""4"": ""Good"", ""5"": ""Very good""}",Never/rarely do it
67,CS_10,CS,"",1,"Peel and chop vegetables (including potatoes, carrots, onions, broccoli)","{""1"": ""Very poor"", ""2"": ""Poor"", ""3"": ""Average"", ""4"": ""Good"", ""5"": ""Very good""}",Never/rarely do it
68,CS_11,CS,"",1,Prepare and cook raw meat/poultry,"{""1"": ""Very poor"", ""2"": ""Poor"", ""3"": ""Average"", ""4"": ""Good"", ""5"": ""Very good""}",Never/rarely do it
69,CS_12,CS,"",1,Prepare and cook raw fish,"{""1"": ""Very poor"", ""2"": ""Poor"", ""3"": ""Average"", ""4"": ""Good"", ""5"": ""Very good""}",Never/rarely do it
70,CS_13,CS,"",1,"Make sauces and gravy from scratch (no ready-made jars, pastes or granules)","{""1"": ""Very poor"", ""2"": ""Poor"", ""3"": ""Average"", ""4"": ""Good"", ""5"": ""Very good""}",Never/rarely do it
71,CS_14,CS,"",1,Use herbs and spices to flavour dishes,"{""1"": ""Very poor"", ""2"": ""Poor"", ""3"": ""Average"", ""4"": ""Good"", ""5"": ""Very good""}",Never/rarely do it
72,FS_general_heading,FS,"",1,Food skills (FS),{},
73,FS_general_description,FS,"",1,"This questionnaire is about your food skills. Food skills are defined as a set of skills needed to provide and prepare safe, healthy and culturally familiar meals. These skills include how to buy and/or grow food, read labels, plan meals, prepare and cook food safely, store food and make recipe substitutions.",{},
74,FS_general_question,FS,"",1,Rate how good you are at each following skill.,{},
75,FS_1_1,FS,"",1,I plan meals ahead.,"{""1"": ""Never"", ""2"": ""Seldom"", ""3"": ""Sometimes"", ""4"": ""Often"", ""5"": ""Always""}",
76,FS_1_2,FS,"",1,"If you plan meals ahead, for which time horizon?","{""1"": ""Less than a day"", ""2"": ""One day"", ""3"": ""Two days"", ""4"": ""Multiple days"", ""5"": ""A week or more""}",Not applicable
77,FS_2,FS,"",1,"I prepare meals in advance (e.g. packed lunch, partly preparing a meal in advance).","{""1"": ""Never"", ""2"": ""Seldom"", ""3"": ""Sometimes"", ""4"": ""Often"", ""5"": ""Always""}",
78,FS_3_1,FS,"",1,I use recipes when cooking.,"{""1"": ""Never"", ""2"": ""Seldom"", ""3"": ""Sometimes"", ""4"": ""Often"", ""5"": ""Always""}",
79,FS_3_2,FS,"",1,"If you use recipes, how strictly do you follow them?","{""1"": ""Very loosely/Just inspirational"", ""2"": ""Slightly strict"", ""3"": ""Moderately strict"", ""4"": ""Very strict"", ""5"": ""Strictly/Literally""}",Not applicable
80,FS_4_1,FS,"",1,I shop with a grocery list.,"{""1"": ""Never"", ""2"": ""Seldom"", ""3"": ""Sometimes"", ""4"": ""Often"", ""5"": ""Always""}",
81,FS_4_2,FS,"",1,I stick to my shopping list/only buy whats on the list.,"{""1"": ""Never"", ""2"": ""Seldom"", ""3"": ""Sometimes"", ""4"": ""Often"", ""5"": ""Always""}",Not applicable
82,FS_5,FS,"",1,I shop with specific meals in mind.,"{""1"": ""Never"", ""2"": ""Seldom"", ""3"": ""Sometimes"", ""4"": ""Often"", ""5"": ""Always""}",
83,FS_6,FS,"",1,I plan how much food to buy.,"{""1"": ""Very poor"", ""2"": ""Poor"", ""3"": ""Average"", ""4"": ""Good"", ""5"": ""Very good""}",
84,FS_7,FS,"",1,I compare prices before I buy food.,"{""1"": ""Never"", ""2"": ""Seldom"", ""3"": ""Sometimes"", ""4"": ""Often"", ""5"": ""Always""}",
85,FS_8,FS,"",1,I know what budget I am able or willing to spend on food.,"{""1"": ""Never"", ""2"": ""Seldom"", ""3"": ""Sometimes"", ""4"": ""Often"", ""5"": ""Always""}",
86,FS_9,FS,"",1,I buy food in season to save money.,"{""1"": ""Never"", ""2"": ""Seldom"", ""3"": ""Sometimes"", ""4"": ""Often"", ""5"": ""Always""}",
87,FS_10,FS,"",1,"I try to buy cheeper alternatives (e.g. cheaper cut of meat, cheaper wine, ...) to save money.","{""1"": ""Never"", ""2"": ""Seldom"", ""3"": ""Sometimes"", ""4"": ""Often"", ""5"": ""Always""}",
88,FS_11,FS,"",1,I cook more or double recipes which can be used for another meal.,"{""1"": ""Never"", ""2"": ""Seldom"", ""3"": ""Sometimes"", ""4"": ""Often"", ""5"": ""Always""}",
89,FS_12,FS,"",1,I prepare or cook a meal with only few ingredients on hand.,"{""1"": ""Never"", ""2"": ""Seldom"", ""3"": ""Sometimes"", ""4"": ""Often"", ""5"": ""Always""}",
90,FS_13,FS,"",1,I prepare or cook a meal with limited time.,"{""1"": ""Never"", ""2"": ""Seldom"", ""3"": ""Sometimes"", ""4"": ""Often"", ""5"": ""Always""}",
91,FS_14,FS,"",1,I use leftovers to create another meal.,"{""1"": ""Never"", ""2"": ""Seldom"", ""3"": ""Sometimes"", ""4"": ""Often"", ""5"": ""Always""}",
92,FS_15,FS,"",1,"I keep basic items in my cupboard for putting meals together (e.g. herbs/spices, dried/tinned goods).","{""1"": ""Never"", ""2"": ""Seldom"", ""3"": ""Sometimes"", ""4"": ""Often"", ""5"": ""Always""}",
93,FS_16,FS,"",1,I consider the best-before date on food.,"{""1"": ""Never"", ""2"": ""Seldom"", ""3"": ""Sometimes"", ""4"": ""Often"", ""5"": ""Always""}",
94,FS_17,FS,"",1,I consider the storage and use-by information on food packets.,"{""1"": ""Never"", ""2"": ""Seldom"", ""3"": ""Sometimes"", ""4"": ""Often"", ""5"": ""Always""}",
95,FS_18,FS,"",1,I consider the nutrition information on the packaging when buying or using food.,"{""1"": ""Never"", ""2"": ""Seldom"", ""3"": ""Sometimes"", ""4"": ""Often"", ""5"": ""Always""}",
96,FS_19,FS,"",1,I balance meals based on nutrition advice on what I think is healthy.,"{""1"": ""Never"", ""2"": ""Seldom"", ""3"": ""Sometimes"", ""4"": ""Often"", ""5"": ""Always""}",
97,FS_20,FS,"",1,My general interest in the topic of food/nutrition can be described as:,"{""1"": ""Very low"", ""2"": ""Low"", ""3"": ""Moderate"", ""4"": ""High"", ""5"": ""Very high""}",
98,FS_21,FS,"",1,My usage of media related to food/nutrition can be described as:,"{""1"": ""Very low"", ""2"": ""Low"", ""3"": ""Moderate"", ""4"": ""High"", ""5"": ""Very high""}",
99,CI_general_heading,CI,"",1,Cooking identity (CI),{},
100,CI_general_description,CI,"",1,This questionnaire is about your cooking identity.,{},
101,CI_1,CI,"",1,I am a good cook.,"{""1"": ""Strongly Disagree"", ""2"": ""Disagree"", ""3"": ""Neither agree nor disagree"", ""4"": ""Agree"", ""5"": ""Strongly agree""}",
102,CI_2,CI,"",1,Others view me as a good cook.,"{""1"": ""Strongly Disagree"", ""2"": ""Disagree"", ""3"": ""Neither agree nor disagree"", ""4"": ""Agree"", ""5"": ""Strongly agree""}",
103,CI_3,CI,"",1,I am a relatively better cook than my friends/family.,"{""1"": ""Strongly Disagree"", ""2"": ""Disagree"", ""3"": ""Neither agree nor disagree"", ""4"": ""Agree"", ""5"": ""Strongly agree""}",
104,CI_4,CI,"",1,I don’t consider myself to be a good cook.,"{""1"": ""Strongly agree"", ""2"": ""Agree"", ""3"": ""Neither agree nor disagree"", ""4"": ""Disagree"", ""5"": ""Strongly Disagree""}",
105,CI_5,CI,"",1,I get a sense of satisfaction from preparing and cooking meals.,"{""1"": ""Strongly Disagree"", ""2"": ""Disagree"", ""3"": ""Neither agree nor disagree"", ""4"": ""Agree"", ""5"": ""Strongly agree""}",
106,CI_6,CI,"",1,I am confident that whatever I cook will turn out well.,"{""1"": ""Strongly Disagree"", ""2"": ""Disagree"", ""3"": ""Neither agree nor disagree"", ""4"": ""Agree"", ""5"": ""Strongly agree""}",
107,CI_7,CI,"",1,I can time different elements of a dish to come together on time.,"{""1"": ""Strongly Disagree"", ""2"": ""Disagree"", ""3"": ""Neither agree nor disagree"", ""4"": ""Agree"", ""5"": ""Strongly agree""}",
108,FN_general_heading,FN,"",1,Food Neophilia (FN),{},
109,FN_general_description,FN,"",1,This questionnaire is about your food neophilia.,{},
110,FN_1,FN,"",1,I like to try new foods.,"{""1"": ""Strongly Disagree"", ""2"": ""Disagree"", ""3"": ""Neither agree nor disagree"", ""4"": ""Agree"", ""5"": ""Strongly agree""}",
111,FN_2,FN,"",1,I like to try out new recipes.,"{""1"": ""Strongly Disagree"", ""2"": ""Disagree"", ""3"": ""Neither agree nor disagree"", ""4"": ""Agree"", ""5"": ""Strongly agree""}",
112,FN_3,FN,"",1,I would describe myself as a foodie (I’m interested in food and seek out food experiences).,"{""1"": ""Strongly Disagree"", ""2"": ""Disagree"", ""3"": ""Neither agree nor disagree"", ""4"": ""Agree"", ""5"": ""Strongly agree""}",
113,SFS_general_heading,SFS,"",1,Subjective Food Satiety (SFS),{},
114,SFS_general_description,SFS,"",1,This question is about your subjective food satiety.,{},
115,SFS,SFS,"",1,How hungry have you been directly after the meal?,"{""1"": ""Very hungry"", ""2"": ""Hungry"", ""3"": ""Neither hungry nor full/satisfied"", ""4"": ""Full/satisfied"", ""5"": ""Very full/satisfied""}",
116,E_general_heading,E,"",1,Emotions (E),{},
117,E_general_description,E,"",1,This question is about your emotions regarding your last meal.,{},
118,E,E,"",1,Which emotions describe your feelings regarding your last meal?,"{""1"": ""Anger"", ""2"": ""Anxiety"", ""3"": ""Boredom"", ""4"": ""Disgust"", ""5"": ""Fear"", ""6"": ""Guilt"", ""7"": ""Happiness"", ""8"": ""Interest"", ""9"": ""Pleasure"", ""10"": ""Pride"", ""11"": ""Sadness"", ""12"": ""Shame"", ""13"": ""Surprise"", ""14"": ""Sympathy"", ""15"": ""Worry"", ""16"": ""Love"", ""17"": ""Hate"", ""18"": ""Hope"", ""19"": ""Relief"", ""20"": ""Satisfaction"", ""21"": ""Regret"", ""22"": ""Jealousy"", ""23"": ""Contentment,""}",
119,SAT_general_heading,SAT,"",1,Satisfaction (SAT),{},
120,SAT_general_description,SAT,"",1,This question is about your satisfaction regarding your last meal.,{},
121,SAT,SAT,"",1,How did you like it?,"{""1"": ""Not at all"", ""2"": ""Slightly"", ""3"": ""Moderately"", ""4"": ""Very"", ""5"": ""Very much""}",
122,ENV_general_heading,ENV,"",1,Environment (ENV),{},
123,ENV_general_description,ENV,"",1,This question is about the environment of your last meal.,{},
124,ENV,ENV,"",1,In which environment did you eat it?,"{""1"": ""Restaurant"", ""2"": ""Home"", ""3"": ""Work"", ""4"": ""School/University"", ""5"": ""Other""}",
125,SENV_general_heading,SENV,"",1,Social Environment (SENV),{},
126,SENV_general_description,SENV,"",1,This question is about the social environment of your last meal.,{},
168,DEB_EX_30,DEB,"",1,"If you see others eating, do you also have the desire to eat?","{""1"": ""Never"", ""2"": ""Seldom"", ""3"": ""Sometimes"", ""4"": ""Often"", ""5"": ""Very often""}",
127,SENV,SENV,"",1,In which social environment did you eat it?,"{""1"": ""Alone"", ""2"": ""With family"", ""3"": ""With friends"", ""4"": ""With colleagues/classmates"", ""6"": ""With a mixed group or other people"", ""7"": ""Other""}",
128,MT_general_heading,MT,"",1,Meal Type (MT),{},
129,MT_general_description,MT,"",1,This question is about the type of your last meal.,{},
130,MT,MT,"",1,What was the meal type?,"{""1"": ""Breakfast"", ""2"": ""Lunch"", ""3"": ""Dinner"", ""4"": ""Snack"", ""5"": ""Other""}",
131,CT_general_heading,CT,"",1,Cooking Type (CT),{},
132,CT_general_description,CT,"",1,This question is about the type of your last meal.,{},
133,CT,CT,"",1,What type of cooking describes it the best?,"{""1"": ""Self-cooked/Prepared"", ""2"": ""Pre-processed (possibly warmed up)"", ""3"": ""Bought/Take away"", ""4"": ""Other""}",No/None
134,DIST_general_heading,DIST,"",1,Distractions (DIST),{},
135,DIST_general_description,DIST,"",1,This question is about the distractions during your last meal.,{},
136,DIST,DIST,"",1,Did you do any other activity while eating?,"{""1"": ""Watching TV or similar media"", ""2"": ""Listening to music"", ""3"": ""Reading"", ""4"": ""Talking"", ""5"": ""Working/Studying"", ""6"": ""Gaming"", ""7"": ""Other""}",No/None
137,DEB_general_heading,DEB,"",1,The Dutch Eating behaviour Questionnaire (DEB),{},
138,DEB_general_description,DEB,"",1,This questionnaire is about your eating behaviour.,{},
139,DEB_R_1,DEB,"",1,"If you have put on weight, do you eat less than you usually do?","{""1"": ""Never"", ""2"": ""Seldom"", ""3"": ""Sometimes"", ""4"": ""Often"", ""5"": ""Very often""}",Not relevant
140,DEB_R_2,DEB,"",1,Do you try to eat less at mealtimes than you would like to eat?,"{""1"": ""Never"", ""2"": ""Seldom"", ""3"": ""Sometimes"", ""4"": ""Often"", ""5"": ""Very often""}",
141,DEB_R_3,DEB,"",1,How often do you refuse food or drink offered because you are concerned about your weight?,"{""1"": ""Never"", ""2"": ""Seldom"", ""3"": ""Sometimes"", ""4"": ""Often"", ""5"": ""Very often""}",
142,DEB_R_4,DEB,"",1,Do you watch exactly what you eat?,"{""1"": ""Never"", ""2"": ""Seldom"", ""3"": ""Sometimes"", ""4"": ""Often"", ""5"": ""Very often""}",
143,DEB_R_5,DEB,"",1,Do you deliberately eat foods that are slimming?,"{""1"": ""Never"", ""2"": ""Seldom"", ""3"": ""Sometimes"", ""4"": ""Often"", ""5"": ""Very often""}",
144,DEB_R_6,DEB,"",1,"When you have eaten too much, do you eat less than usual the following days?","{""1"": ""Never"", ""2"": ""Seldom"", ""3"": ""Sometimes"", ""4"": ""Often"", ""5"": ""Very often""}",Not relevant
145,DEB_R_7,DEB,"",1,Do you deliberately eat less in order not to become heavier?,"{""1"": ""Never"", ""2"": ""Seldom"", ""3"": ""Sometimes"", ""4"": ""Often"", ""5"": ""Very often""}",
146,DEB_R_8,DEB,"",1,How often do you try not to eat between meals because you are watching your weight?,"{""1"": ""Never"", ""2"": ""Seldom"", ""3"": ""Sometimes"", ""4"": ""Often"", ""5"": ""Very often""}",
147,DEB_R_9,DEB,"",1,How often in the evening do you try not to eat because you are watching your weight?,"{""1"": ""Never"", ""2"": ""Seldom"", ""3"": ""Sometimes"", ""4"": ""Often"", ""5"": ""Very often""}",
148,DEB_R_10,DEB,"",1,Do you take into account your weight with what you eat?,"{""1"": ""Never"", ""2"": ""Seldom"", ""3"": ""Sometimes"", ""4"": ""Often"", ""5"": ""Very often""}",
149,DEB_E_11,DEB,"",1,Do you have the desire to eat when you are irritated?,"{""1"": ""Never"", ""2"": ""Seldom"", ""3"": ""Sometimes"", ""4"": ""Often"", ""5"": ""Very often""}",Not relevant
150,DEB_E_12,DEB,"",1,Do you have a desire to eat when you have nothing to do?,"{""1"": ""Never"", ""2"": ""Seldom"", ""3"": ""Sometimes"", ""4"": ""Often"", ""5"": ""Very often""}",Not relevant
151,DEB_E_13,DEB,"",1,Do you have a desire to eat when you are depressed or discouraged?,"{""1"": ""Never"", ""2"": ""Seldom"", ""3"": ""Sometimes"", ""4"": ""Often"", ""5"": ""Very often""}",Not relevant
152,DEB_E_14,DEB,"",1,Do you have a desire to eat when you are feeling lonely?,"{""1"": ""Never"", ""2"": ""Seldom"", ""3"": ""Sometimes"", ""4"": ""Often"", ""5"": ""Very often""}",Not relevant
153,DEB_E_15,DEB,"",1,Do you have a desire to eat when somebody lets you down?,"{""1"": ""Never"", ""2"": ""Seldom"", ""3"": ""Sometimes"", ""4"": ""Often"", ""5"": ""Very often""}",Not relevant
154,DEB_E_16,DEB,"",1,Do you have a desire to eat when you are cross?,"{""1"": ""Never"", ""2"": ""Seldom"", ""3"": ""Sometimes"", ""4"": ""Often"", ""5"": ""Very often""}",Not relevant
155,DEB_E_17,DEB,"",1,Do you have a desire to eat when you are approaching something unpleasant to happen?,"{""1"": ""Never"", ""2"": ""Seldom"", ""3"": ""Sometimes"", ""4"": ""Often"", ""5"": ""Very often""}",
156,DEB_E_18,DEB,"",1,"Do you get the desire to eat when you are anxious, worried or tense?","{""1"": ""Never"", ""2"": ""Seldom"", ""3"": ""Sometimes"", ""4"": ""Often"", ""5"": ""Very often""}",
157,DEB_E_19,DEB,"",1,Do you have a desire to eat when things are going against you or when things have gone wrong?,"{""1"": ""Never"", ""2"": ""Seldom"", ""3"": ""Sometimes"", ""4"": ""Often"", ""5"": ""Very often""}",
158,DEB_E_20,DEB,"",1,Do you have a desire to eat when you are frightened?,"{""1"": ""Never"", ""2"": ""Seldom"", ""3"": ""Sometimes"", ""4"": ""Often"", ""5"": ""Very often""}",Not relevant
159,DEB_E_21,DEB,"",1,Do you have a desire to eat when you are disappointed?,"{""1"": ""Never"", ""2"": ""Seldom"", ""3"": ""Sometimes"", ""4"": ""Often"", ""5"": ""Very often""}",Not relevant
160,DEB_E_22,DEB,"",1,Do you have a desire to eat when you are emotionally upset?,"{""1"": ""Never"", ""2"": ""Seldom"", ""3"": ""Sometimes"", ""4"": ""Often"", ""5"": ""Very often""}",Not relevant
